"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"WILLIAM CARLOS BRUM BISPO";"WILLIAM SIRI";"Deputado Federal";5022;"PSOL";"Federação PSOL REDE(PSOL/REDE)";"Aguardando julgamento";"Concorrendo"
"WILSON SILVA BESERRA";"WILSON BESERRA";"Deputado Federal";5500;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"WILSON MARTINS COUTINHO";"WILSON PROTETOR";"Deputado Federal";3636;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"CARLOS ZALBERTO BOA MORTE FILHO";"XARA CARLOS BOA MORTE";"Deputado Federal";2033;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"RENATO ROSA XAVIER";"YENNA";"Deputado Federal";1577;"MDB";"MDB";"Aguardando julgamento";"Concorrendo"
"ZAQUEU DA SILVA TEIXEIRA";"ZAQUEU TEIXEIRA";"Deputado Federal";5533;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"JOSÉ MARQUES ANDRÉ NETO";"ZÉ ANDRÉ";"Deputado Federal";1020;"REPUBLICANOS";"REPUBLICANOS";"Aguardando julgamento";"Concorrendo"
"JOSÉ AUGUSTO NALIN";"ZÉ AUGUSTO NALIN";"Deputado Federal";5522;"PSD";"PSD";"Aguardando julgamento";"Concorrendo"
"ANTONIO COSTA DE BRITO";"ZE BONITINHO";"Deputado Federal";2044;"PSC";"PSC";"Aguardando julgamento";"Concorrendo"
"JOSÉ ANTONIO MARQUES CAVALCANTI DE SÁ";"ZÉ CHALEIRA";"Deputado Federal";9092;"PROS";"PROS";"Aguardando julgamento";"Concorrendo"
"JOSE MARIA FIDELIS DA SILVA";"ZE DA RASA";"Deputado Federal";3577;"PMB";"PMB";"Aguardando julgamento";"Concorrendo"
"JOSÉ BERNARDO DE OLIVIERA";"ZÉ DA TUIA";"Deputado Federal";7030;"AVANTE";"AVANTE";"Aguardando julgamento";"Concorrendo"
"JOSÉ MARIA FERREIRA RANGEL";"ZÉ MARIA";"Deputado Federal";1350;"PT";"Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV)";"Aguardando julgamento";"Concorrendo"
"EMERSON CRUZ DE OLIVEIRA";"ZÉ NINGUÉM";"Deputado Federal";3655;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"JOSÉ CARLOS PORTO NETO";"ZEZÉ PORTO";"Deputado Federal";7714;"SOLIDARIEDADE";"SOLIDARIEDADE";"Aguardando julgamento";"Concorrendo"
"JOSÉ JALMIR DE MEDEIROS";"ZICO PQD";"Deputado Federal";2777;"DC";"DC";"Aguardando julgamento";"Concorrendo"
"ZICRI LAMEQUE DA SILVA";"ZICRI KAINON";"Deputado Federal";3667;"AGIR";"AGIR";"Aguardando julgamento";"Concorrendo"
"ZILMARA BRANDAO DA SILVA";"ZILMARA BRANDÃO DA SILVA";"Deputado Federal";1108;"PP";"PP";"Aguardando julgamento";"Concorrendo"
